"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2790,255,90,11367,"Corner","2Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",932,133,1065,"GasA","Ex","Y",1091,898,1989,1,0,2,1,3,"Gd",7,1,"Attchd",2,586,"TA","TA",199,60,0,0
1264,157,0,10920,"Corner","1Story",6,5,1960,1960,"TA","TA","CBlock","TA","TA","BLQ",733,520,1253,"GasA","TA","Y",1253,0,1253,1,0,1,1,2,"TA",5,1,"Attchd",1,352,"TA","TA",0,213,176,0
2035,141,50,9000,"Inside","1.5Fin",6,6,1937,1950,"TA","Gd","PConc","TA","TA","Unf",0,780,780,"GasA","TA","Y",780,595,1375,0,0,1,1,3,"Gd",6,1,"Detchd",1,544,"TA","TA",0,162,0,126
1767,252,83,10790,"Inside","2Story",7,5,1998,1998,"Gd","TA","PConc","Gd","TA","Unf",0,1066,1066,"GasA","Ex","Y",1108,1277,2385,0,0,2,1,4,"Gd",8,1,"BuiltIn",3,600,"TA","TA",120,38,0,0
1311,98,34,4571,"Inside","2Story",5,5,1916,1950,"TA","TA","BrkTil","TA","TA","Unf",0,624,624,"GasA","Fa","N",624,720,1344,0,0,1,0,4,"TA",7,0,"Detchd",3,513,"Fa","Fa",0,0,96,0
1562,250,44,3811,"Inside","1Story",7,5,2004,2005,"Gd","TA","PConc","Ex","TA","GLQ",1474,120,1594,"GasA","Ex","Y",1646,0,1646,1,1,2,0,2,"Ex",5,1,"Attchd",2,482,"TA","TA",128,53,0,155
425,325,108,13173,"Corner","1Story",9,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",1572,80,1652,"GasA","Ex","Y",1652,0,1652,1,0,2,0,2,"Ex",6,2,"Attchd",2,840,"TA","TA",404,102,0,0
2738,415,60,19800,"Inside","2.5Unf",6,8,1935,1990,"TA","TA","BrkTil","TA","TA","Rec",425,1411,1836,"GasA","Gd","Y",1836,1836,3672,0,0,3,1,5,"Gd",7,2,"Detchd",2,836,"TA","TA",684,80,32,0
2871,157,90,15750,"Corner","1Story",5,5,1953,1953,"TA","TA","CBlock","TA","TA","BLQ",841,324,1165,"GasA","TA","Y",1336,0,1336,1,0,1,0,2,"TA",5,2,"Attchd",1,375,"TA","TA",0,0,0,0
2699,137.5,82,12375,"Inside","1.5Fin",5,5,1951,1951,"TA","Fa","CBlock","TA","TA","BLQ",329,477,806,"GasA","TA","Y",1081,341,1422,1,0,1,0,3,"TA",7,1,"Detchd",1,288,"TA","TA",0,0,0,0
1537,257.076,100,9670,"Inside","2Story",8,6,1935,1950,"TA","TA","PConc","TA","Fa","LwQ",210,398,608,"GasA","TA","Y",983,890,1873,0,0,1,1,4,"TA",9,2,"Detchd",2,786,"Fa","TA",0,0,207,0
378,187.5,0,14115,"Inside","SLvl",7,5,1980,1980,"TA","TA","CBlock","Gd","TA","GLQ",1036,336,1372,"GasA","TA","Y",1472,0,1472,1,0,2,0,3,"TA",6,2,"Attchd",2,588,"TA","TA",233,48,0,0
2929,170,77,10010,"Inside","1Story",5,5,1974,1975,"TA","TA","CBlock","Gd","TA","ALQ",1071,195,1389,"GasA","Gd","Y",1389,0,1389,1,0,1,0,2,"TA",6,1,"Attchd",2,418,"TA","TA",240,38,0,0
1826,128.5,0,9945,"Inside","1Story",5,5,1961,1961,"TA","TA","CBlock","TA","TA","Rec",827,161,988,"GasA","TA","Y",988,0,988,1,0,1,0,3,"TA",5,0,"Detchd",2,572,"TA","TA",0,0,0,0
2230,200.624,0,32668,"CulDSac","1Story",6,3,1957,1975,"Gd","TA","PConc","TA","TA","Rec",1219,816,2035,"GasA","TA","Y",2515,0,2515,1,0,3,0,4,"TA",9,2,"Attchd",2,484,"TA","TA",0,0,200,0
2867,210,70,14210,"Inside","2Story",6,7,1930,1959,"TA","TA","PConc","TA","TA","Unf",0,697,697,"GasA","Ex","Y",1104,697,1801,0,0,1,1,3,"TA",8,1,"Attchd",2,365,"Fa","TA",0,90,0,0
2686,109,50,11672,"Inside","1Story",5,5,1925,1950,"TA","TA","BrkTil","TA","TA","Unf",0,816,816,"GasA","TA","Y",816,0,816,0,0,1,0,2,"TA",4,0,"Detchd",1,210,"Fa","Fa",168,0,112,0
2381,342.643,111,16259,"Corner","2Story",9,5,2006,2006,"TA","TA","PConc","Ex","Gd","Unf",0,1249,1249,"GasA","Ex","Y",1249,1347,2596,0,0,3,1,4,"Gd",9,0,"Attchd",3,840,"TA","TA",240,154,0,0
939,222,0,21695,"Corner","1Story",6,9,1988,2007,"Gd","Gd","CBlock","Gd","TA","GLQ",808,72,880,"GasA","Ex","Y",1680,0,1680,1,0,2,0,3,"Gd",5,1,"Attchd",2,540,"TA","TA",292,44,0,0
2347,169,0,10464,"FR3","SFoyer",6,6,1980,1980,"TA","TA","CBlock","Gd","TA","GLQ",850,138,988,"GasA","TA","Y",1102,0,1102,1,0,1,0,2,"TA",5,1,"Attchd",2,582,"TA","TA",140,22,0,0
2803,133,37,4435,"Inside","1Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",717,131,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",4,0,"Attchd",2,420,"TA","TA",140,0,0,0
1747,188.5,65,16219,"Inside","SLvl",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","GLQ",779,56,835,"GasA","Ex","Y",1119,0,1119,1,0,2,0,2,"Gd",5,0,"Attchd",2,437,"TA","TA",100,24,0,0
2853,102,60,6000,"Inside","1.5Fin",5,5,1926,1950,"TA","Fa","BrkTil","TA","TA","Unf",0,1008,1008,"GasA","Ex","Y",1008,0,1522,0,0,2,0,4,"TA",7,0,"None",0,0,"None","None",0,0,138,0
725,119,60,5400,"Inside","1.5Fin",6,6,1920,1950,"Fa","TA","BrkTil","TA","TA","Unf",0,972,972,"GasA","Ex","Y",1044,0,1480,0,0,1,0,3,"TA",6,0,"Detchd",1,207,"Fa","TA",0,0,176,0
2739,182,78,11679,"Inside","SLvl",5,5,1962,1962,"TA","TA","CBlock","TA","TA","ALQ",612,0,1776,"GasA","Ex","Y",1560,0,1560,0,1,2,0,3,"TA",6,1,"Attchd",2,528,"TA","TA",453,253,144,0
1220,72.5,0,6627,"Corner","1Story",3,6,1949,1950,"TA","TA","CBlock","None","None","None",0,0,0,"Floor","TA","N",720,0,720,0,0,1,0,2,"TA",4,0,"Detchd",1,287,"TA","Fa",0,0,0,0
2158,246.9,73,17227,"CulDSac","1Story",8,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",915,426,1341,"GasA","Ex","Y",1341,0,1341,1,0,1,1,1,"Gd",5,1,"Attchd",2,482,"TA","TA",240,84,0,0
69,215.2,72,8640,"Inside","2Story",7,5,2009,2009,"TA","TA","PConc","Gd","TA","GLQ",24,732,756,"GasA","Ex","Y",764,783,1547,0,0,2,1,3,"Gd",7,0,"Attchd",2,614,"TA","TA",169,45,0,0
1139,170,81,9260,"Corner","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1162,1162,"GasA","Ex","Y",1162,0,1162,0,0,2,0,3,"Gd",6,0,"Attchd",2,483,"TA","TA",0,32,0,0
1833,302,0,9572,"Inside","2Story",8,5,1990,1990,"Gd","TA","PConc","Ex","TA","GLQ",482,971,1453,"GasA","Ex","Y",1453,1357,2810,0,0,2,1,4,"Gd",9,1,"Attchd",2,750,"Gd","Gd",500,0,0,0
2812,196.5,89,11645,"Corner","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,860,860,"GasA","Ex","Y",860,860,1720,0,0,2,1,3,"Gd",7,0,"Attchd",2,565,"TA","TA",0,70,0,0
845,192,68,9017,"Inside","1Story",7,5,1999,1999,"Gd","TA","PConc","Gd","TA","GLQ",560,871,1431,"GasA","Ex","Y",1431,0,1431,1,0,2,0,3,"Gd",6,0,"Attchd",2,666,"TA","TA",0,35,0,0
1606,138,60,6600,"Inside","1Story",5,8,1982,2003,"TA","Gd","PConc","TA","Gd","GLQ",816,0,816,"GasA","Ex","Y",816,0,816,1,0,1,0,2,"TA",4,0,"Detchd",2,816,"TA","TA",0,0,0,0
1776,213.133,75,9910,"Inside","1Story",7,6,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1369,1369,"GasA","Ex","Y",1369,0,1369,0,0,2,0,3,"Gd",5,0,"Attchd",2,605,"TA","TA",0,203,0,0
2102,200.141,103,11175,"Corner","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1316,1316,"GasA","Ex","Y",1316,0,1316,0,0,2,0,3,"Gd",6,1,"Attchd",2,440,"TA","TA",0,20,0,0
977,160,83,13383,"Inside","1Story",5,5,1969,2000,"TA","TA","CBlock","TA","TA","BLQ",594,594,1188,"GasA","Ex","Y",1404,0,1404,0,0,2,0,3,"TA",7,1,"Attchd",2,504,"TA","TA",0,16,0,0
2817,98,67,8777,"Inside","2Story",4,6,1910,2000,"TA","Gd","CBlock","Gd","TA","Rec",173,166,676,"GasA","Gd","Y",760,676,1436,1,0,2,0,3,"TA",6,0,"Attchd",2,528,"TA","TA",147,0,0,0
619,167,80,9600,"Inside","1Story",6,5,1953,1953,"TA","TA","CBlock","TA","TA","GLQ",1285,131,1416,"GasA","TA","Y",1644,0,1644,1,0,1,0,3,"TA",7,2,"Attchd",2,418,"TA","TA",110,0,0,0
